year rspi2 popu2 time
1950 NA 3978 1920
1951 NA 4091 1921
1952 NA 4306 1922
1953 NA 4583 1923
1954 NA 4889 1924
1955 NA 5204 1925
1956 NA 5518 1926
1957 NA 5830 1927
1958 NA 6150 1928
1959 NA 6493 1929
1960 NA 6872 1930
1961 NA 7292 1931
1962 NA 7738 1932
1963 NA 8179 1933
1964 NA 8568 1934
1965 NA 8875 1935
1966 NA 9085 1936
1967 NA 9212 1937
1968 NA 9290 1938
1969 NA 9370 1939
1970 1.9652 9489 1940
1971 0.5 9659 1941
1972 2.1783 9870 1942
1973 0.5 10105 1943
1974 0.5 10335 1944
1975 0.5 10542 1945
1976 5.5441 10721 1946
1977 0.5 10883 1947
1978 NA 11038 1948
1979 0.5 11205 1949
1980 NA 11397 1950
1981 NA 11613 1951
1982 NA 11850 1952
1983 1.4478 12105 1953
1984 0.5 12378 1954
1985 NA 12666 1955
1986 0.5 12972 1956
1987 1.3389 13292 1957
1988 NA 13603 1958
1989 0.5 13871 1959
1990 1.6389 14077 1960
1991 1.2142 14206 1961
1992 NA 14268 1962
1993 0.5 14293 1963
1994 0.5 14324 1964
1995 1.8963 14393 1965
1996 NA 14512 1966
1997 0.5 14669 1967
1998 0.5 14833 1968
1999 0.7283 14961 1969
2000 0.7247 15024 1970
2001 NA NA 1971
2002 NA NA 1972
2003 NA NA 1973
2004 NA NA 1974
2005 NA NA 1975
2006 NA NA 1976
2007 NA NA 1977
2008 NA NA 1978
2009 NA NA 1979
2010 NA NA 1980
2011 NA NA 1981
2012 NA NA 1982
2013 NA NA 1983
2014 NA NA 1984
2015 NA NA 1985
2016 NA NA 1986
2017 NA NA 1987
2018 NA NA 1988
2019 NA NA 1989
2020 NA NA 1990
2021 NA NA 1991
2022 NA NA 1992
2023 NA NA 1993
2024 NA NA 1994
2025 NA NA 1995
2026 NA NA 1996
2027 NA NA 1997
2028 NA NA 1998
2029 NA NA 1999
2030 NA NA 2000
