"rspi2" "popu2" "time"
"1950" NA 783 1920
"1951" NA 808 1921
"1952" NA 829 1922
"1953" NA 848 1923
"1954" NA 869 1924
"1955" NA 891 1925
"1956" NA 915 1926
"1957" NA 942 1927
"1958" NA 969 1928
"1959" NA 998 1929
"1960" NA 1025 1930
"1961" NA 1051 1931
"1962" NA 1077 1932
"1963" NA 1103 1933
"1964" NA 1132 1934
"1965" NA 1166 1935
"1966" NA 1204 1936
"1967" NA 1246 1937
"1968" NA 1289 1938
"1969" NA 1329 1939
"1970" 7.4994 1363 1940
"1971" 1.5834 1391 1941
"1972" 1.8352 1415 1942
"1973" 2.1047 1432 1943
"1974" 0.5 1440 1944
"1975" 1.8041 1440 1945
"1976" 0.5 1430 1946
"1977" 0.5 1411 1947
"1978" NA 1391 1948
"1979" 0.5 1380 1949
"1980" NA 1383 1950
"1981" NA 1403 1951
"1982" NA 1439 1952
"1983" 0.5 1485 1953
"1984" 0.5 1538 1954
"1985" NA 1591 1955
"1986" 2.7873 1646 1956
"1987" 4.1816 1703 1957
"1988" NA 1756 1958
"1989" 2.846 1800 1959
"1990" 0.5 1829 1960
"1991" 1.2142 1840 1961
"1992" NA 1836 1962
"1993" 0.5 1827 1963
"1994" 0.5 1827 1964
"1995" 1.3553 1845 1965
"1996" NA 1889 1966
"1997" 1.4832 1953 1967
"1998" 1.3079 2025 1968
"1999" 0.5349 2086 1969
"2000" 0.5323 2124 1970
"2001" NA NA 1971
"2002" NA NA 1972
"2003" NA NA 1973
"2004" NA NA 1974
"2005" NA NA 1975
"2006" NA NA 1976
"2007" NA NA 1977
"2008" NA NA 1978
"2009" NA NA 1979
"2010" NA NA 1980
"2011" NA NA 1981
"2012" NA NA 1982
"2013" NA NA 1983
"2014" NA NA 1984
"2015" NA NA 1985
"2016" NA NA 1986
"2017" NA NA 1987
"2018" NA NA 1988
"2019" NA NA 1989
"2020" NA NA 1990
"2021" NA NA 1991
"2022" NA NA 1992
"2023" NA NA 1993
"2024" NA NA 1994
"2025" NA NA 1995
"2026" NA NA 1996
"2027" NA NA 1997
"2028" NA NA 1998
"2029" NA NA 1999
"2030" NA NA 2000
