cntry1 cntry2 proximity
1010 1125 2
1010 1250 2
1010 1280 1
1010 1290 1
1010 1310 2
1010 1520 2
1010 4080 1
1010 4280 1
1020 1025 1
1020 1030 2
1020 1035 1
1020 1045 1
1020 1070 1
1020 1080 2
1020 1100 2
1020 1160 1
1020 1180 1
1020 1190 1
1020 1192 1
1020 1220 1
1020 1240 1
1020 1260 1
1020 1320 1
1020 1325 2
1020 1370 1
1020 1410 2
1020 1430 1
1020 1555 2
1020 1560 2
1020 1570 2
1025 1020 1
1025 1035 2
1025 1045 1
1025 1115 1
1025 1130 1
1025 1160 1
1025 1170 2
1025 1180 1
1025 1190 1
1025 1192 1
1025 1240 1
1025 1280 2
1025 1330 1
1025 1340 1
1025 1410 1
1025 1510 2
1025 1555 1
1030 1020 2
1030 1070 1
1030 1160 1
1030 1230 2
1030 1325 2
1030 1430 2
1030 1480 2
1030 1530 1
1030 1560 2
1030 1570 2
1035 1020 1
1035 1025 2
1035 1080 1
1035 1115 1
1035 1120 2
1035 1130 1
1035 1140 2
1035 1180 1
1035 1240 1
1035 1280 2
1035 1290 1
1035 1330 1
1035 1340 1
1035 1410 1
1035 1135 1
1040 1070 1
1040 1115 1
1040 1220 1
1040 1270 1
1040 1320 2
1040 1370 2
1040 1390 1
1040 1510 1
1040 1530 1
1040 1555 1
1045 1020 1
1045 1025 1
1045 1070 2
1045 1080 2
1045 1100 2
1045 1130 1
1045 1160 1
1045 1340 1
1045 1510 1
1045 1555 2
1060 1192 1
1060 1320 1
1060 1385 2
1060 1400 1
1060 2070 1
1060 4240 1
1070 1020 1
1070 1030 1
1070 1040 1
1070 1045 2
1070 1080 2
1070 1320 1
1070 1370 1
1070 1555 2
1070 1560 1
1080 1020 2
1080 1035 1
1080 1045 2
1080 1070 2
1080 1160 1
1080 1240 1
1080 1250 1
1080 1330 2
1080 1470 1
1080 1555 1
1090 1260 1
1090 1320 1
1090 1400 2
1090 1546 2
1100 1020 2
1100 1045 2
1100 1160 2
1100 1510 1
1100 1555 2
1115 1025 1
1115 1035 1
1115 1040 1
1115 1180 2
1115 1190 2
1115 1240 2
1115 1280 2
1115 1510 1
1120 1035 2
1120 1140 2
1120 1420 2
1120 1470 1
1120 3420 2
1120 1135 2
1125 1010 2
1125 1250 2
1125 1470 1
1125 3020 1
1125 3170 2
1125 3210 1
1125 3340 1
1125 3370 2
1130 1025 1
1130 1035 1
1130 1045 1
1130 1160 1
1140 1035 2
1140 1120 2
1140 1220 2
1140 1420 2
1140 1470 1
1140 1530 2
1140 1135 2
1160 1020 1
1160 1025 1
1160 1030 1
1160 1045 1
1160 1080 1
1160 1100 2
1160 1130 1
1160 1180 1
1160 1385 1
1160 2270 1
1170 1025 2
1170 1180 1
1170 1190 2
1170 1192 2
1170 1390 2
1170 1410 1
1180 1020 1
1180 1025 1
1180 1035 1
1180 1115 2
1180 1160 1
1180 1170 1
1180 1340 2
1190 1020 1
1190 1025 1
1190 1115 2
1190 1170 2
1190 1192 2
1190 1240 2
1190 1280 2
1190 1410 2
1192 1020 1
1192 1025 1
1192 1060 1
1192 1170 2
1192 1190 2
1192 1280 2
1192 1390 2
1220 1020 1
1220 1040 1
1220 1140 2
1220 1320 1
1220 1340 1
1220 1370 2
1220 1420 1
1220 1530 2
1220 1546 2
1230 1030 2
1230 1325 2
1230 1430 2
1230 1480 2
1230 1560 2
1230 1570 2
1240 1020 1
1240 1025 1
1240 1035 1
1240 1080 1
1240 1115 2
1240 1190 2
1240 1410 2
1250 1010 2
1250 1080 1
1250 1125 2
1250 1330 1
1250 1470 1
1250 1520 2
1250 3020 1
1260 1020 1
1260 1090 1
1260 1300 1
1260 1320 2
1260 1385 1
1260 1546 2
1270 1040 1
1270 1320 2
1270 1325 1
1270 1430 1
1270 1480 1
1270 1546 2
1270 1560 2
1270 1570 2
1280 1010 1
1280 1025 2
1280 1035 2
1280 1115 2
1280 1190 2
1280 1192 2
1280 1290 2
1280 1330 2
1280 1390 2
1290 1010 1
1290 1035 1
1290 1280 2
1290 1310 1
1290 1390 2
1300 1260 1
1300 1400 2
1300 3255 1
1300 4080 1
1300 4308 1
1310 1010 2
1310 1290 1
1310 1520 2
1310 4080 1
1310 4240 1
1310 4280 1
1320 1020 1
1320 1040 2
1320 1060 1
1320 1070 1
1320 1090 1
1320 1220 1
1320 1260 2
1320 1270 2
1320 1370 1
1320 1430 1
1320 1546 2
1320 1560 2
1320 1570 2
1325 1020 2
1325 1030 2
1325 1230 2
1325 1270 1
1325 1430 2
1325 1480 2
1325 1560 2
1325 1570 2
1330 1025 1
1330 1035 1
1330 1080 2
1330 1250 1
1330 1280 2
1330 1340 1
1330 1470 1
1340 1025 1
1340 1035 1
1340 1045 1
1340 1180 2
1340 1220 1
1340 1330 1
1370 1020 1
1370 1040 2
1370 1070 1
1370 1220 2
1370 1320 1
1370 1530 2
1370 1546 2
1370 1555 1
1370 1560 2
1370 1570 2
1385 1060 2
1385 1160 1
1385 1260 1
1385 4240 1
1390 1040 1
1390 1170 2
1390 1192 2
1390 1280 2
1390 1290 2
1400 1060 1
1400 1090 2
1400 1300 2
1400 4308 1
1410 1020 2
1410 1025 1
1410 1035 1
1410 1170 1
1410 1190 2
1410 1240 2
1410 2270 1
1420 1120 2
1420 1140 2
1420 1220 1
1420 1470 1
1420 3420 2
1420 1135 2
1430 1020 1
1430 1030 2
1430 1230 2
1430 1270 1
1430 1320 1
1430 1325 2
1430 1480 2
1430 1546 1
1430 1560 1
1430 1570 2
1470 1080 1
1470 1120 1
1470 1125 1
1470 1140 1
1470 1250 1
1470 1330 1
1470 1420 1
1470 1530 2
1470 1135 1
1480 1030 2
1480 1230 2
1480 1270 1
1480 1325 2
1480 1430 2
1480 1560 1
1480 1570 2
1510 1025 2
1510 1040 1
1510 1045 1
1510 1100 1
1510 1115 1
1520 1010 2
1520 1250 2
1520 1310 2
1520 4200 1
1530 1030 1
1530 1040 1
1530 1140 2
1530 1220 2
1530 1370 2
1530 1470 2
1530 1555 1
1546 1090 2
1546 1220 2
1546 1260 2
1546 1270 2
1546 1320 2
1546 1370 2
1546 1430 1
1546 1555 1
1555 1020 2
1555 1025 1
1555 1040 1
1555 1045 2
1555 1070 2
1555 1080 1
1555 1100 2
1555 1370 1
1555 1530 1
1555 1546 1
1555 1560 2
1560 1020 2
1560 1030 2
1560 1070 1
1560 1230 2
1560 1270 2
1560 1320 2
1560 1325 2
1560 1370 2
1560 1430 1
1560 1480 1
1560 1555 2
1560 1570 2
1570 1020 2
1570 1030 2
1570 1230 2
1570 1270 2
1570 1320 2
1570 1325 2
1570 1370 2
1570 1430 2
1570 1480 2
1570 1560 2
2010 2030 2
2010 2040 2
2010 2045 1
2010 2160 2
2010 2230 2
2010 2290 2
2010 2385 2
2010 2400 2
2010 2420 2
2010 2440 2
2010 2450 1
2010 4308 1
2020 2070 1
2020 2090 1
2020 2120 2
2020 2130 1
2020 2140 2
2020 2150 1
2020 2180 1
2020 2310 2
2020 2360 2
2020 2450 1
2020 2460 2
2020 2470 2
2020 3300 1
2020 4008 1
2020 4085 1
2020 4240 1
2020 4280 2
2020 4308 1
2020 5020 1
2030 2010 2
2030 2040 2
2030 2090 1
2030 2230 2
2030 2290 2
2030 2385 2
2030 2400 2
2030 2420 2
2030 2440 2
2030 2450 2
2030 4205 1
2030 4300 1
2030 4308 1
2040 2010 2
2040 2030 2
2040 2090 1
2040 2140 1
2040 2150 1
2040 2160 2
2040 2230 2
2040 2260 1
2040 2290 2
2040 2310 1
2040 2385 1
2040 2400 1
2040 2420 1
2040 2450 1
2040 2470 1
2040 4308 1
2045 2010 1
2045 2130 1
2045 2140 1
2045 2150 1
2045 2160 1
2045 2170 1
2045 2190 2
2045 2230 2
2045 2250 2
2045 2280 2
2045 2290 1
2045 2310 2
2045 2340 1
2045 2350 1
2045 2385 1
2045 2400 1
2045 2420 1
2045 2440 1
2060 2070 2
2060 2120 1
2060 2130 1
2060 2170 2
2060 2180 1
2060 2360 2
2060 2370 2
2060 2470 1
2070 1060 1
2070 2020 1
2070 2060 2
2070 2090 1
2070 2120 2
2070 2180 1
2070 2310 1
2070 2360 2
2070 2370 1
2070 2450 1
2070 2460 1
2070 2470 1
2070 4240 1
2090 2020 1
2090 2030 1
2090 2040 1
2090 2070 1
2090 2120 1
2090 2140 1
2090 2310 1
2090 2450 2
2090 4020 1
2090 4050 1
2090 4160 1
2090 4220 1
2090 4290 1
2090 4300 1
2090 4308 2
2090 5020 2
2090 5150 2
2120 2020 2
2120 2060 1
2120 2070 2
2120 2090 1
2120 2130 1
2120 2140 2
2120 2150 1
2120 2310 2
2120 2360 1
2120 2450 1
2120 2460 2
2120 4008 1
2120 4080 1
2120 4180 1
2120 4200 1
2120 4240 1
2120 4280 2
2120 5020 1
2130 2020 1
2130 2045 1
2130 2060 1
2130 2120 1
2130 2140 1
2130 2170 1
2130 2180 2
2130 2310 1
2130 2350 2
2130 2370 1
2130 2430 1
2130 2470 2
2140 2020 2
2140 2040 1
2140 2045 1
2140 2090 1
2140 2120 2
2140 2130 1
2140 2150 1
2140 2310 2
2140 2340 2
2140 2350 2
2140 2460 1
2140 2470 1
2140 4280 1
2150 2020 1
2150 2040 1
2150 2045 1
2150 2120 1
2150 2140 1
2150 2170 1
2150 2190 1
2150 2250 1
2150 2270 1
2150 2280 2
2150 2310 1
2150 2450 1
2150 3068 1
2150 3083 1
2160 2010 2
2160 2040 2
2160 2045 1
2160 2260 1
2160 2290 2
2160 2385 2
2160 2400 2
2160 2420 2
2160 2440 1
2160 4308 2
2170 2045 1
2170 2060 2
2170 2130 1
2170 2150 1
2170 2190 1
2170 2270 2
2170 2280 1
2170 2340 1
2180 2020 1
2180 2060 1
2180 2070 1
2180 2130 2
2180 2190 1
2180 2350 1
2180 2370 2
2190 2045 2
2190 2150 1
2190 2170 1
2190 2180 1
2190 2250 2
2190 2280 2
2190 2310 1
2190 2340 2
2230 2010 2
2230 2030 2
2230 2040 2
2230 2045 2
2230 2260 1
2230 2290 1
2230 2385 2
2230 2400 2
2230 2420 2
2230 2440 2
2230 2470 1
2250 2045 2
2250 2150 1
2250 2190 2
2250 2280 2
2250 2310 2
2250 2340 2
2250 2350 1
2260 2040 1
2260 2160 1
2260 2230 1
2260 2290 1
2260 2385 1
2260 2400 1
2260 2420 1
2260 2430 2
2260 2440 2
2260 2470 2
2270 1160 1
2270 1410 1
2270 2150 1
2270 2170 2
2270 2290 1
2270 2360 1
2280 2045 2
2280 2150 2
2280 2170 1
2280 2190 2
2280 2250 2
2280 2310 1
2280 2340 2
2280 2350 1
2290 2010 2
2290 2030 2
2290 2040 2
2290 2045 1
2290 2160 2
2290 2230 1
2290 2260 1
2290 2270 1
2290 2385 2
2290 2400 2
2290 2420 2
2290 2440 2
2290 4308 1
2310 2020 2
2310 2040 1
2310 2045 2
2310 2070 1
2310 2090 1
2310 2120 2
2310 2130 1
2310 2140 2
2310 2150 1
2310 2190 1
2310 2250 2
2310 2280 1
2310 2340 1
2310 2350 1
2310 2450 2
2310 2460 1
2340 2045 1
2340 2140 2
2340 2170 1
2340 2190 2
2340 2250 2
2340 2280 2
2340 2310 1
2340 2350 2
2350 2045 1
2350 2130 2
2350 2140 2
2350 2180 1
2350 2250 1
2350 2280 1
2350 2310 1
2350 2340 2
2350 2470 1
2360 2020 2
2360 2060 2
2360 2070 2
2360 2120 1
2360 2270 1
2360 2460 1
2370 2060 2
2370 2070 1
2370 2130 1
2370 2180 2
2385 2010 2
2385 2030 2
2385 2040 1
2385 2045 1
