"rspi2" "popu2" "time"
"1950" NA 2072 1920
"1951" NA 2090 1921
"1952" NA 2109 1922
"1953" NA 2141 1923
"1954" NA 2195 1924
"1955" NA 2275 1925
"1956" NA 2376 1926
"1957" NA 2490 1927
"1958" NA 2602 1928
"1959" NA 2695 1929
"1960" NA 2754 1930
"1961" NA 2771 1931
"1962" NA 2751 1932
"1963" NA 2713 1933
"1964" NA 2683 1934
"1965" NA 2681 1935
"1966" NA 2717 1936
"1967" NA 2783 1937
"1968" NA 2857 1938
"1969" NA 2906 1939
"1970" 0.5 2908 1940
"1971" 0.5 2853 1941
"1972" 0.5 2756 1942
"1973" 0.5 2648 1943
"1974" 0.5 2576 1944
"1975" 0.5 2572 1945
"1976" 0.5 2648 1946
"1977" 0.5 2793 1947
"1978" NA 2987 1948
"1979" 0.5 3201 1949
"1980" NA 3411 1950
"1981" NA 3611 1951
"1982" NA 3807 1952
"1983" 0.5 4006 1953
"1984" 0.5 4223 1954
"1985" NA 4464 1955
"1986" 0.5 4734 1956
"1987" 1.3389 5025 1957
"1988" NA 5320 1958
"1989" 1.469 5597 1959
"1990" 0.5 5841 1960
"1991" 1.4563 6045 1961
"1992" NA 6216 1962
"1993" 2.4668 6368 1963
"1994" 0.5 6523 1964
"1995" 1.4203 6695 1965
"1996" NA 6889 1966
"1997" 7.5526 7103 1967
"1998" 1.4651 7335 1968
"1999" 1.0307 7585 1969
"2000" 1.0255 7851 1970
"2001" NA NA 1971
"2002" NA NA 1972
"2003" NA NA 1973
"2004" NA NA 1974
"2005" NA NA 1975
"2006" NA NA 1976
"2007" NA NA 1977
"2008" NA NA 1978
"2009" NA NA 1979
"2010" NA NA 1980
"2011" NA NA 1981
"2012" NA NA 1982
"2013" NA NA 1983
"2014" NA NA 1984
"2015" NA NA 1985
"2016" NA NA 1986
"2017" NA NA 1987
"2018" NA NA 1988
"2019" NA NA 1989
"2020" NA NA 1990
"2021" NA NA 1991
"2022" NA NA 1992
"2023" NA NA 1993
"2024" NA NA 1994
"2025" NA NA 1995
"2026" NA NA 1996
"2027" NA NA 1997
"2028" NA NA 1998
"2029" NA NA 1999
"2030" NA NA 2000
